restaurant_name,restaurant_type,rating,num_ratings,cost_for_two,online_order,table_booking,cuisines,area,address,cost_per_person,rating_category
Barbeque Delight,Casual Dining,3.4,173,650.0,1,0,"Arabian, Kerala, Biryani, South Indian, Chinese, BBQ",Electronic City,Electronic City,325.0,Good
Barbeque Nation,Casual Dining,3.8,32,1600.0,0,0,"North Indian, European, Mediterranean, BBQ, Kebab",Brookefield,Whitefield,800.0,Good
Barbeque Station,Casual Dining,2.8,151,700.0,1,0,"North Indian, Chinese, BBQ","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,350.0,Poor
Barcode,Bar,3.8,169,1300.0,0,1,"South Indian, North Indian","Byresandra,Tavarekere,Madiwala",Koramangala 4th Block,650.0,Good
Barebones - The Balcony Bar,"Bar, Casual Dining",4.2,2445,1500.0,0,1,"Chinese, Continental, Finger Food, Italian",Indiranagar,Indiranagar,750.0,Excellent
Barista,Cafe,3.2,11,300.0,0,0,Cafe,Indiranagar,CV Raman Nagar,150.0,Good
Barkaas,Casual Dining,4.2,198,1000.0,1,1,"Arabian, Biryani, Desserts, Beverages, Salad",Marathahalli,Marathahalli,500.0,Excellent
Barkat,Quick Bites,3.4,5,250.0,0,0,Kerala,"Byresandra,Tavarekere,Madiwala",BTM,125.0,Good
Barley & Grapes Cafe,Cafe,4.2,842,1000.0,0,0,"Cafe, Italian, Continental",Whitefield,Whitefield,500.0,Excellent
Barleyz,"Lounge, Microbrewery",3.7,4650,2000.0,0,0,"North Indian, Continental, Chinese",Koramangala 4th Block,Koramangala 6th Block,1000.0,Good
Basava Bhavana (B2),Quick Bites,2.8,40,200.0,0,0,South Indian,HSR,HSR,100.0,Poor
Basavanagudi Mylari,Quick Bites,4.0,52,300.0,0,0,South Indian,Banashankari,Basavanagudi,150.0,Excellent
Basaveshwara Kanawali,Quick Bites,3.5,13,250.0,0,0,South Indian,Brookefield,Whitefield,125.0,Good
Basaveshwara Khanavali,Quick Bites,3.3,11,150.0,0,0,South Indian,Bellandur,Bellandur,75.0,Good
Basaveshwarnagar Dosa Corner,Quick Bites,3.8,75,200.0,1,0,South Indian,Malleshwaram,Basaveshwara Nagar,100.0,Good
Basawa Hotel,Quick Bites,3.4,8,250.0,0,0,South Indian,"Byresandra,Tavarekere,Madiwala",BTM,125.0,Good
Based On A True Story- Bistro,"Cafe, Quick Bites",4.3,496,800.0,1,1,"Cafe, Burger, Italian, Desserts",Kalyan Nagar,Kammanahalli,400.0,Excellent
Basil Joint,"Takeaway, Delivery",3.5,24,300.0,1,0,"Fast Food, Beverages",Malleshwaram,New BEL Road,150.0,Good
Baskin Robbins,Dessert Parlor,2.9,20,250.0,1,0,"Ice Cream, Desserts",Malleshwaram,Rajajinagar,125.0,Poor
Basmati Bar & Restaurant,Casual Dining,3.8,345,800.0,1,1,"Biryani, Andhra, North Indian, Chinese",Marathahalli,Marathahalli,400.0,Good
Basmati Delights,Delivery,4.0,869,500.0,1,0,"Biryani, Chinese, Mughlai, Fast Food, Kebab",Bannerghatta Road,BTM,250.0,Excellent
Basmati Restaurant,Casual Dining,3.8,419,900.0,1,0,"Biryani, Andhra, North Indian, Chinese",Bellandur,Bellandur,450.0,Good
Basmati's Briyani Nation,"Takeaway, Delivery",2.8,40,350.0,1,0,"Biryani, Fast Food","Byresandra,Tavarekere,Madiwala",HSR,175.0,Poor
Basveshwara Khaanavali,Quick Bites,2.8,40,250.0,0,0,South Indian,Bannerghatta Road,Bannerghatta Road,125.0,Poor
Bat Chef,Quick Bites,2.6,26,500.0,1,0,Fast Food,Indiranagar,Indiranagar,250.0,Poor
Bathinda Dine,Casual Dining,3.9,266,950.0,1,0,North Indian,Sarjapur Road,Bellandur,475.0,Good
Bathinda Junction,Casual Dining,3.8,367,600.0,1,0,North Indian,JP Nagar,BTM,300.0,Good
Bathinda Tandoor,Quick Bites,2.8,40,300.0,1,0,North Indian,Bannerghatta Road,BTM,150.0,Poor
